provinsi_valid,nama_paket,total_pagu
Provinsi Bangka Belitung (BABEL),2,2924000
Provinsi Banten,130,23487037730
Provinsi Bengkulu,3,2720000
Provinsi DKI Jakarta,291,458848571922
Provinsi Daerah Istimewa Yogyakarta,72,12504893676
Provinsi Jambi,12,1314110000
Provinsi Jawa Barat (JABAR),399,125124867334
Provinsi Jawa Tengah (JATENG),183,62093763880
Provinsi Jawa Timur (JATIM),262,62155707089
Provinsi Kalimantan Barat (KALBAR),35,5937324712
Provinsi Kalimantan Selatan (KALSEL),60,12081827600
Provinsi Kalimantan Tengah (KALTENG),33,1113216480
Provinsi Kalimantan Timur (KALTIM),40,9736407352
Provinsi Kalimantan Utara (KALTARA),6,266650000
Provinsi Kepulauan Riau (KEPRI),19,424471500
Provinsi Lampung,35,5100596400
Provinsi Maluku,16,9297830300
Provinsi NAD Aceh ,180,13998098198
Provinsi Nusa Tenggara Barat (NTB),12,472290400
Provinsi Nusa Tenggara Timur (NTT),25,3231186283
Provinsi Papua,87,50089710368
Provinsi Papua Barat,21,13108990928
Provinsi Riau,32,9273251089
Provinsi Sulawesi Selatan (SULSEL),23,6682394250
Provinsi Sulawesi Tengah (SULTENG),28,5333766000
Provinsi Sulawesi Tenggara (SULTRA),20,2312126600
Provinsi Sulawesi Utara (SULUT),29,7907765938
Provinsi Sumatera Barat (SUMBAR),11,2382932500
Provinsi Sumatera Selatan (SUMSEL),32,5728414500
Provinsi Sumatera Utara (SUMUT),87,20751329830
